shipment_id,shipment_reference,physical_pallet_count,pallet_mapping_status,source_carton_number,source_carton_count,source_pallet_number,sku,part_number,name_zh,name_en,category,unit,expected_quantity,unit_price_incl_vat_cny,line_amount_cny,product_barcode_source,product_barcode,import_ready,review_issue
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,14#,1,,DM-GWM-0043,1001116AGW01A,发动机机脚胶(右）,Right Engine Mount,传动系统 / Drivetrain,个 / pc,4,153.7,614.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,14#,1,,DM-GWM-0045,1001100XGW02A,发动机机脚胶（变速箱机脚胶）,Transmission-Side Engine Mount,传动系统 / Drivetrain,个 / pc,4,148.4,593.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,14#,1,,DM-GWM-0047,1001103XGW02A,发动机机脚胶（变速箱机脚胶）,Transmission-Side Engine Mount,传动系统 / Drivetrain,个 / pc,4,148.4,593.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,15#,1,,DM-GWM-0049,2905127XGW01A,前减震塔顶胶,Front Strut Top Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,53,530,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,15#,1,,DM-GWM-0050,2905137XGW01A,前减震器防尘套,Front Strut Dust Boot,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,21.2,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,15#,1,,DM-GWM-0051,2905108XPW01A,前减震塔顶胶,Front Strut Top Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,53,212,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,15#,1,,DM-GWM-0054,2905377XGW02A,前减震器缓冲胶,Front Strut Bump Stop,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,15.9,159,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,16#,1,,DM-GWM-0113,1307100XED95,水泵,Engine Water Pump,发动机系统 / Engine System,个 / pc,4,220,880,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,17#,1,,DM-GWM-0115,1307100-EG01B,水泵,Engine Water Pump,发动机系统 / Engine System,个 / pc,6,110,660,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,18#,1,,DM-GWM-0097,2904201XKV1BB,前上摆臂（左）,Left Front Upper Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,127.2,508.8,products.barcode,,NO,Pallet mapping pending
